stable_gens,density,c,nSpecies,boardSize,dispersal,demes,alpha,bLim,maxDens,richness,gens,self
0.09078085462097261,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,4.0,324.0,1.0
0.09024903885519628,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,5.0,496.0,1.0
0.0937646046312826,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,38.0,1515.0,2.0
0.09315710927400059,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,2.0
0.09582720389434107,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,2.0
0.09597276038634134,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,2.0
0.09436461317991231,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,54.0,1021.0,2.0
0.0971848251931705,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,56.0,1251.0,2.0
0.09520975709633701,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,56.0,1003.0,2.0
0.09661964160697228,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,65.0,753.0,2.0
0.09640920107811131,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,62.0,1077.0,2.0
0.09513434498490153,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,2.0
0.09524104746780562,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,87.0,417.0,2.0
0.09651017759577123,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,100.0,185.0,2.0
0.09550118143063528,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,52.0,1247.0,2.0
0.09489251297257027,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,2.0
0.09478292027927049,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,46.0,1134.0,2.0
0.0932935720819689,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,60.0,992.0,2.0
0.09691397002518568,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,2.0
0.09667401589850493,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,63.0,1149.0,2.0
0.09638890938670312,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,77.0,732.0,2.0
0.09578957299358754,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,57.0,1192.0,2.0
0.0966596520422235,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,3.0,551.0,2.0
0.09627864492825598,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,6.0,490.0,2.0
0.09654052068319259,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,8.0,397.0,2.0
0.0953332174358497,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,2.0,828.0,2.0
0.09678144677796534,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,6.0,401.0,2.0
0.09457167715418953,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,3.0,374.0,2.0
0.09427833774637405,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,2.0,594.0,2.0
0.09476020464218286,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,11.0,305.0,2.0
0.09638456349042929,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,3.0,650.0,2.0
0.09692554673997578,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,4.0,624.0,2.0
0.09547930930125818,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,3.0,396.0,2.0
0.09586041744133128,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,3.0,510.0,2.0
0.09587073853398793,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,4.0,545.0,2.0
0.09405069100068189,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,5.0,451.0,2.0
0.0939917259122658,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,2.0,617.0,2.0
0.09677154193007788,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,3.0,560.0,2.0
0.09539133152615714,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,12.0,422.0,2.0
0.09785725043497864,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,7.0,369.0,2.0
0.09379856518941894,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,2.0,662.0,2.0
0.09590081289760898,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,9.0,397.0,2.0
0.10614377089776356,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,37.0,1673.0,0.0
0.10446496199274911,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,51.0,1028.0,0.0
0.10470303077627618,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,47.0,710.0,0.0
0.10466566820740875,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,45.0,969.0,0.0
0.10438077739076022,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,42.0,1199.0,0.0
0.10577281257048762,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,102.0,0.0
